lat;lon
-25.7664223;-53.0631028
-25.7658304;-53.059452
-25.7657623;-53.0628714
-25.7656607;-53.0788453
-25.76547;-53.5355
-25.76531;-53.07261
-25.7653083;-53.0595693
-25.7651641;-53.0563786
-25.7651143;-53.0611318
-25.76502;-53.08538
-25.7649435;-53.0611132
-25.7649357;-53.0554696
-25.7648;-53.53964
-25.7646904;-53.0739515
-25.76458;-53.54123
-25.7644636;-53.0838174
-25.76437;-53.07364
-25.7642909;-53.0762133
-25.7639953;-53.0588927
-25.7637319;-53.0723185
-25.7636516;-53.5233172
-25.7635815;-53.0746667
-25.7633322;-53.0722064
-25.7630671;-53.0763233
-25.76306;-53.05792
-25.762843;-53.0763415
-25.7624733;-53.0608706
-25.76225;-53.06697
-25.7622;-53.06689
-25.761911;-53.0767174
-25.76178;-53.53996
-25.7613568;-53.0614871
-25.76078;-53.53701
-25.7606645;-53.5313166
-25.7606115;-53.0585681
-25.7605638;-53.058588
-25.76056;-53.05843
-25.7602176;-53.0571112
-25.7601781;-53.0586888
-25.7601381;-53.0583283
-25.7600438;-53.0587224
-25.7597776;-53.0588001
-25.7597702;-53.0588022
-25.75972;-53.05632
-25.7594787;-53.0651134
-25.7591189;-53.0571703
-25.7590967;-53.0562775
-25.7590967;-53.0585527
-25.7590323;-53.0567805
-25.75897;-53.04083
-25.7587;-53.06
-25.7586402893066;-53.080150604248
-25.7586294;-53.0586691
-25.7585551;-53.0598698
-25.7585435;-53.0529953
-25.7584662;-53.0591268
-25.7583977;-53.0613704
-25.7583942;-53.0762549
-25.758342;-53.0536201
-25.7581858;-53.054178
-25.7581507;-53.0524375
-25.7580565;-53.0602944
-25.7580243;-53.0518021
-25.75798;-53.05793
-25.7578764;-53.0588531
-25.7578246;-53.0524488
-25.7578182;-53.0650409
-25.7577919;-53.0506642
-25.7577646;-53.0505261
-25.7576981;-53.0577268
-25.75765;-53.07358
-25.7576204;-53.0497668
-25.7575306;-53.0568732
-25.7575251;-53.0781285
-25.7574467;-53.0589521
-25.7573025;-53.0641624
-25.757246;-53.0589903
-25.7571687;-53.0531678
-25.7571507;-53.0550411
-25.7571314;-53.0451737
-25.757121;-53.0452598
-25.756995;-53.060239
-25.7568995;-53.0647844
-25.7568938;-53.0568506
-25.756852966157;-53.0768392238391
-25.7568378448486;-53.0569610595703
-25.7568307;-53.0616077
-25.7568279;-53.0568657
-25.7568002;-53.0590416
-25.7567798;-53.0501553
-25.7567407;-53.0606052
-25.7566963;-53.0568958
-25.7566722773837;-53.0796838124931
-25.7566645;-53.0636092
-25.7565237;-53.0591554
-25.7564476;-53.0591778
-25.7563441;-53.0596185
-25.7563225;-53.0572959
-25.7562891;-53.0601513
-25.7562804;-53.0485715
-25.7562294;-53.0596463
-25.7562168;-53.0654186
-25.7561901;-53.0592535
-25.75617;-53.05501
-25.756054;-53.0617926
-25.7560374;-53.0602703
-25.7560038;-53.0490652
-25.7558814;-53.0573997
-25.7558728;-53.0570958
-25.7556;-53.07479
-25.7554272;-53.0669016
-25.7551822;-53.0572625
-25.7549319;-53.0544516
-25.754928;-53.05732
-25.75491;-53.04866
-25.7548921;-53.0595722
-25.75481;-53.04818
-25.754689;-53.0590624
-25.7545906;-53.0482142
-25.7544825;-53.0594233
-25.7544048;-53.0590181
-25.7542763;-53.0719399
-25.7541561126708;-53.0633125305175
-25.75412;-53.06295
-25.7538188;-53.0722683
-25.75359;-53.0672
-25.7535666;-53.0594925
-25.7535;-53.06322
-25.7534777;-53.0722937
-25.7532854;-53.0594673
-25.7531547;-53.0599765
-25.7531347;-53.0599814
-25.7530007;-53.0624925
-25.7529211;-53.0622051
-25.7528088;-53.0701391
-25.7526809;-53.0604852
-25.7525601;-53.0567616
-25.7524976;-53.065309
-25.7524638;-53.0567834
-25.7524107;-53.0718825
-25.7521517;-53.0621114
-25.7520977;-53.0650383
-25.7519732;-53.0662412
-25.7519265;-53.0660002
-25.7518591;-53.0624307
-25.7516573;-53.0637954
-25.7516428;-53.0645078
-25.751342;-53.0631385
-25.7513109;-53.0611119
-25.751216;-53.0624029
-25.7511509;-53.0602132
-25.7511014;-53.0566153
-25.7510714;-53.0598133
-25.7507726;-53.0646598
-25.7507509;-53.0571904
-25.7507133;-53.0579805
-25.7506972;-53.0546326
-25.75066;-53.0577173
-25.7504698;-53.066368
-25.7503748;-53.0516739
-25.7503705;-53.0561463
-25.7502899;-53.0551044
-25.7502696;-53.0548346
-25.7501589;-53.0532153
-25.7501441;-53.0530691
-25.750104;-53.0520043
-25.7500847;-53.0583184
-25.7500164;-53.0561449
-25.7500014;-53.0559531
-25.7499974;-53.0559019
-25.7499864;-53.0557612
-25.7499824;-53.05571
-25.7499317;-53.0551496
-25.7498875;-53.0545679
-25.7498152;-53.0536662
-25.7498102;-53.0535613
-25.7497414;-53.0521816
-25.7496036;-53.0539935
-25.7495029;-53.0515631
-25.7494948;-53.0613885
-25.7494763;-53.0494323
-25.749473;-53.0531541
-25.7493831;-53.0531082
-25.7493681;-53.0531006
-25.7493512;-53.0527634
-25.7492101;-53.0513244
-25.74915;-53.05283
-25.7491132;-53.0529705
-25.74911;-53.0611
-25.7489614;-53.0525645
-25.7486185;-53.052718
-25.7486;-53.0574
-25.7485173;-53.0587475
-25.7481846;-53.0517554
-25.7481517;-53.056912
-25.74745;-53.07582
-25.7474102;-53.0543231
-25.7473943;-53.0590752
-25.7473926;-53.0542058
-25.7472471;-53.0651296
-25.7471997;-53.0530687
-25.747176;-53.0668422
-25.747117;-53.0515165
-25.7470337;-53.0696394
-25.7469629;-53.0532799
-25.7469062;-53.0633076
-25.7468849;-53.065915
-25.7468338;-53.0539205
-25.7467163;-53.054064
-25.7466869;-53.0540999
-25.7466691;-53.05415
-25.7466117;-53.0649853
-25.7465829;-53.0592644
-25.7465738;-53.0646886
-25.7465328;-53.0542883
-25.7465077;-53.0659972
-25.7463694;-53.0647332
-25.7462147;-53.054294
-25.7461928;-53.0550877
-25.7461813;-53.0550992
-25.7461004;-53.0663189
-25.7460898;-53.0530054
-25.7459959;-53.0553835
-25.7459202;-53.0671375
-25.7457963;-53.064697
-25.745737;-53.0552812
-25.7457325;-53.0559376
-25.7457103;-53.0559975
-25.745681;-53.0569279
-25.7456745;-53.0530772
-25.745673;-53.056885
-25.745666;-53.0561174
-25.7456558;-53.0529486
-25.7455225;-53.0551417
-25.7454069;-53.0569345
-25.7452872;-53.0652881
-25.7452168;-53.0557349
-25.7451524;-53.0598399
-25.7449679;-53.0659848
-25.7448774;-53.0699507
-25.7446382;-53.055361
-25.7445467;-53.0664447
-25.7445041;-53.0556961
-25.7444639;-53.0577442
-25.7443711;-53.0686116
-25.7441933;-53.0619213
-25.7441008;-53.0614391
-25.7439712;-53.0642767
-25.7438202;-53.0519169
-25.7438087;-53.0542767
-25.7437243;-53.0594286
-25.7435356;-53.0614434
-25.7435256;-53.0569481
-25.743293;-53.0556854
-25.7432886;-53.0687346
-25.74326;-53.06459
-25.7432334;-53.0569939
-25.7430389;-53.0674901
-25.7429948;-53.0555568
-25.7429675;-53.0554053
-25.7429431359001;-53.0637055262568
-25.7428152;-53.0531745
-25.7427616;-53.0600986
-25.7426925;-53.0547684
-25.7426521;-53.061299
-25.742523;-53.0538454
-25.7424577;-53.0656302
-25.7424438;-53.0639216
-25.7424219;-53.0573986
-25.7423811;-53.0617006
-25.7423155;-53.056497
-25.7423013;-53.0563774
-25.74228;-49.7078651
-25.742248;-53.0591518
-25.7421716;-53.0548896
-25.7421687;-53.0556947
-25.7420783;-53.0647151
-25.7418463;-53.0560142
-25.7418117;-53.0554162
-25.7416496;-53.0607628
-25.7416026;-53.0546086
-25.7415768;-53.0534529
-25.7415527;-53.0610154
-25.7415076;-53.0603704
-25.741438;-53.057419
-25.7414343;-53.061324
-25.7414053;-53.060637
-25.7413524;-53.0536635
-25.7413483;-53.0691653
-25.7411254;-53.0621092
-25.74099;-53.04923
-25.7409767;-53.065282
-25.7409689;-53.0518532
-25.7408042;-53.0621752
-25.7408027;-53.0562566
-25.7407811;-53.0644124
-25.7407521;-53.0656805
-25.7406354;-53.0572868
-25.7406349;-53.0501966
-25.7402718;-53.0553414
-25.7402607;-53.0553427
-25.7401607;-53.0514722
-25.7400861;-53.0534308
-25.7399159;-53.0631161
-25.7399036;-53.054907
-25.7398368;-53.0510488
-25.7397144;-53.0568099
-25.7396512;-53.0565187
-25.7396354;-53.0568271
-25.7395906;-53.0555017
-25.7395778;-53.0555046
-25.7395742;-53.0538524
-25.73956;-53.05371
-25.7395442;-53.0632509
-25.7395151;-53.0682837
-25.7394932;-53.056553
-25.73939;-53.05759
-25.7393564;-53.0548909
-25.73931;-53.05182
-25.7392577;-53.0555748
-25.7390969;-53.0569558
-25.7388693;-53.0622235
-25.738859;-53.0602265
-25.7388397;-53.0559836
-25.73877;-53.0668
-25.7387153;-53.0654527
-25.7382923;-53.0548344
-25.7381685;-53.0538674
-25.7381043;-53.0519393
-25.7380667;-53.0571931
-25.7378271;-53.053946
-25.7378261;-53.0562133
-25.7377506;-53.0598886
-25.737734;-53.0539675
-25.7376879;-53.0572804
-25.7375028;-53.0562845
-25.7374851;-53.0559834
-25.7374749;-53.0543327
-25.7374588;-53.068355
-25.7373343;-53.0686061
-25.7372724;-53.056335
-25.7370899;-53.0554155
-25.7370166778564;-53.05708694458
-25.73686;-53.05616
-25.7368305;-53.0567675
-25.7365578;-53.0564948
-25.7362885;-53.0538759
-25.736094;-53.05699
-25.73587;-53.05467
-25.735835;-53.0537777
-25.7355777;-53.0560651
-25.7354305;-53.0531035
-25.7353825;-53.0550503
-25.7353557;-53.0564674
-25.73511;-53.07095
-25.7348263;-53.069713
-25.7345499;-53.0701331
-25.73434;-53.07205
-25.7342195;-53.0706758
-25.7342090606689;-53.0585784912109
-25.73381;-53.0711
-25.733795;-53.0587953
-25.73315;-53.07364
-25.73287;-53.05308
-25.73272;-53.07462
-25.73263;-53.06297
-25.7321697;-53.0592242
-25.7320625;-53.0736315
-25.7309607;-53.0724155
-25.73083;-53.07077
-25.7308034;-53.0745419
-25.7307046;-53.0594651
-25.7305132;-53.0730721
-25.7303;-53.05889
-25.7300279;-53.0597845
-25.7299772;-53.059489
-25.7299444;-53.0597929
-25.7298504;-53.0598023
-25.72964;-53.06089
-25.72905;-50.7895
-25.7288504;-53.0593756
-25.728697;-53.059331
-25.72848;-53.06124
-25.7284773;-53.059574
-25.7283411;-53.0595216
-25.7276818;-53.0592633
-25.7272;-53.06118
-25.7190322875976;-53.766918182373
-25.7113895416259;-53.773639678955
-25.7098279;-52.916416
-25.7096109;-52.917747
-25.7089673;-52.9202411
-25.70074;-49.30504
-25.68236;-49.30374
-25.67768;-48.45988
-25.67751;-48.46
-25.6764339;-53.7986871
-25.66843;-49.3203
-25.6648083;-49.2916149
-25.6617534;-49.3083487
-25.6606794;-49.3027251
-25.660175;-49.3258561
-25.6599577;-49.3260615
-25.6599365;-49.3260002
-25.6594328;-49.3023464
-25.6574555;-49.3019332
-25.6571543;-49.2957431
-25.657089;-49.3018595
-25.6570462;-49.2956957
-25.6569566;-49.3018284
